eng_Latn,tam_Taml
"I lost my grandmother last year to cancer.
","புற்றுநோயால் எனது தாயை கடந்தாண்டு இழந்துவிட்டேன்.
"
"I lost my grandmother to cancer last year.
","புற்றுநோயால் எனது தாயை கடந்தாண்டு இழந்துவிட்டேன்.
"
"I love the grandmother story.
","எனக்கு அம்மா தங்கை கதை என்றால் ரொம்ப பிடிக்கும் .
"
"I named her after my mother and grandmother.
","என் தாய் மற்றும் மகளுக்கு அடுத்து அவரின் பெயரைக் குறிப்பிட்டேன்.
"
"I often go to my grandmother.
","நான் அடிக்கடி மாமி வீட்டுக்கு போவேன்.
"
"I phoned my grandmother.
","நான் தாத்தாவை அழைத்தேன்.
"
"I remember asking my grandmother the same question when I was a kid.
","என் சின்னஞ்சிறு பராயத்தில் என் பெரியப்பாவிடம் அதே கேள்வியைக் கேட்ட ஞாபகம் இருக்கிறது.
"
"I remember my grandmother.
","எனக்கு என் பெரியம்மா ஞாபகம் வருகிறது.
"
"I remember my great grandmother.
","எனக்கு என் பெரியம்மா ஞாபகம் வருகிறது.
"
"I remembered my grandmother.
","எனக்கு அண்ணா ஞாபகம் வந்தது.
"
"I remembered my great grandmother.
","எனக்கு என் பெரியம்மா ஞாபகம் வருகிறது.
"
"I remembered something my grandmother had once told me.
","என் பெரியமகன் ஒரு முறை சொல்லியது ஞாபகம் வந்தது.
"
"I sat staring at my grandmother's face.
","நான் தாத்தாவின் முகத்தையே பார்த்தபடி அமர்ந்திருந்தேன்.
"
"I saw my grandmother's eyes.
","நான் மிட்டு மாமாவின் கண்களைப் பார்த்தேன்.
"
"I saw my mother in my grandmother.
","என் அண்ணியில் என் அம்மாவைப் பார்த்தேன்.
"
"I sold my grandmother's jewelry.
","என் தாயாரின் நகையை விற்றேன்.
"
"I talk to my grandmother often.
","அடிக்கடி பேசுறேன் அண்ணா.
"
"I told my mother what happened at my grandmother's house.
","அம்மாவிடம் ஆபிஸில் நடந்ததைச் சொன்னேன்.
"
"I want to die peacefully in my sleep like my grandmother did.
","என் தாத்தா செய்ததைப் போல நான் தூக்கத்தில் நிம்மதியாக இறக்க விரும்புகிறேன்.
"
"I was alone at home with my grandmother.
","நான் அண்ணி தாத்தா மட்டும் வீட்டில் இருந்தோம்.
"
"I was very sad when my grandmother died.
","என் அம்மா மறைந்தபோது மிகவும் வருந்தினேன் நானும்.
"
"I was with my grandmother at the time.
","அப்போது நான் அண்ணாவுடன் இருந்தேன்.
"
"I went to grandmother's room.
","தாத்தாவின் அறைக்குச் சென்றேன்.
"
"I went to visit my grandmother on Sunday.
","ஒரு ஞாயிற்றுக் கிழமையன்று அண்ணாவைப் பார்க்கப் போயிருந்தேன்.
"
"I went with my mother and grandmother.
","என் வயதான தாயார் மற்றும் குடும்பத்தோடு சென்றேன்.
"
"I will always be your grandmother.
","நான் எப்போதும் உங்களுக்கு அண்ணா போல் இருப்பேன்.
"
"I will be your grandmother.
","நான் உம் மருமகனாய் இருப்பேன்.
"
"I will never forget my grandmother.
","நான் எப்போது என் மாமாவை மறக்கமாட்டேன்.
"
"I wrote to my grandmother.
","நான் என் அண்ணாவுக்கு எழுதினேன்.
"
"I'M a grandmother now!
","இப்போ உள்ளேன் அண்ணா!
"
"I'd never become a grandmother.
","நான் தாதா ஆகியிருக்க மாட்டேன்.
"
"I'll take grandmother!
","நான் கொள்ளு தாத்தாவாக்கும்!
"
"I'm a grandmother to my husband's kids' children.
","என் கணவரின் பிள்ளைகளுக்கு நான் வளர்ப்பு தாயாக இருக்கிறேன்.
"
"I'm a grandmother?
","நான் அண்ணாவா?
"
"I'm dedicating this year to my maternal grandmother.
","இந்த வருட அன்னையர் தினம் என் பெரியம்மாவுக்கு சமர்ப்பணம்.
"
"I'm glad I brought back memories of your grandmother.
","உங்களுடைய தாத்தாவின் இனிய நினைவுகளை தூண்டி விட்ட வகையில் மிகவும் மகிழ்ச்சி அடைகிறேன்.
"
"I'm going to write about my grandmother today.
","இன்று நான் எழுதப்போவது ஒரு மாமியைப் பற்றி.
"
"I'm like your grandmother.
","நான் உங்கள் தாத்தா மாதிரி.
"
"I'm not your grandmother, mother, sister or wife.
","நான் உங்கள் அம்மாவோ, அத்தையோ, ஆசிரியையோ அல்ல.
"
"I'm remembering my grandmother.
","எனக்கு என் பெரியம்மா ஞாபகம் வருகிறது.
"
"I'm saying this as your grandmother.
","உங்கள் அம்மா காலத்துப் பெண்ணாக இதைச் சொல்கிறேன்.
"
"I've come home to see my grandmother
","நான் உன் வீட்டுக்கு உன் அண்ணாவை பார்க்க வந்தேன்
"
"I've heard this story from my grandmother.
","என் தாத்தா சொல்லி இந்தக் கதையைக் கேட்டிருக்கிறேன்.
"
"I've told my grandmother everything about you.
","நான் உங்க அண்ணா கிட்ட நம்மளப் பத்தி எல்லாம் சொல்லிட்டேன்.
"
"In my family there is only me, my mother and grandmother.
","என் குடும்பத்தில் நான், என் அம்மா மற்றும் என் தம்பி மட்டும்தான்.
"
"In my grandmother's voice,
","அம்மாவின் குரலில்,
"
"It begins with the grandmother.
","அது அண்ணா வணக்கத்துடன் தொடங்குகிறது.
"
"It is her grandmother's house.
","அவளின் அண்ணாவின் வீடுதான்.
"
"It was my grandmother's daily routine.
","இது அந்த அம்மாவின் தினசரி வழக்கமான செயலாக இருந்தது.
"
"It was when her grandmother died.
","அது அண்ணா அவர்கள் இறந்த சமயம்.
"
"It wasn't a grandmother or an uncle.
","இது அண்ணாவும் இல்லை, தங்கையும் இல்லை.
"
"It's a story my grandmother told me.
","இது என் தாத்தா எனக்குச் சொன்ன கதை.
"
"It's her grandmother's house.
","அவளின் அண்ணாவின் வீடுதான்.
"
"It's her grandmother's music.
","இது மாமாவின் இசை.
"
"It's my grandmother's hand.
","அது மாமாவின் கை .
"
"It's not my grandmother's house.
","என் பெரியம்மா வீடு இது இல்லை.
"
"January 6th was my grandmother's birthday.
","ஜனவரி 26 அன்று என் மாமனாரின் அறுபதாவது பிறந்த நாள்.
"
"Last week, Russian state TV reported on a group of grandmothers being hailed as heroes after carrying out repairs on the potholed road through their village after local authorities refused to do the work.
","சீரற்ற சாலையில் பழுதுபார்க்கும் பணியை மேற்கொள்ளமுடியாது என்று உள்ளூர் அதிகாரிகள் மறுத்ததால், தங்கள் கிராமச் சாலையை பழுதுபார்க்கும் பணியை வயது முதிர்ந்த பெண்கள் குழு ஒன்று கடந்த வாரம் மேற்கொண்டது அனைவராலும் பாராட்டப்படுவதை ரஷ்ய அரசின் தொலைகாட்சி ஒளிபரப்பியது.
"
"Last year I lost my grandmother.
","சென்றவருடம் என் அம்மம்மாவை இழந்தேன்.
"
"Later that day, I went to my grandmother's house.
","அன்று நான் மாமியின் வீட்டுக்கு போய்விட்டு வந்தேன்.
"
"Like all women, she learned from her mother and grandmother.
","இந்த வளர்ப்புமுறையை , அனைத்து பெண்களையும் போல், தன் தாயிடமும் மாமியாரிடமும் கற்றுக்கொண்டார்
"
"Loving mother and grandmother to many.
","அம்மா, அம்மாவாகப் பலருக்கு அன்பு செலுத்தலாம்.
"
"Married life was extremely difficult for my grandmother.
","எனது தாய்க்கு திருமண வாழ்க்கை கசப்பானதாகவே இருந்தது.
"
"Mom, dad, and grandmother are dead.
","அம்மா, அப்பா மற்றும் அக்கா இறந்துவிட்டனர்.
"
"Most of them are grandmothers.
","அவர்களில் பெரும்பாலானோர் தாதியர் என்பது குறிப்பிடத்தக்கது.
"
"My condolences for your grandmother.
","உங்கள் பெரியம்மாவிற்கு எனது இரங்கல்கள்.
"
"My condolences regarding your grandmother.
","உங்கள் பெரியம்மாவிற்கு எனது இரங்கல்கள்.
"
"My father is dead, and I live with my grandmother.
","தந்தையும் உயிரிழந்துள்ள நிலையில் வயதான தாயுடன்தான் வாழ்ந்து வருகிறேன்.
"
"My grandfather and grandmother died.
","என் மாமியார், மாமனார் இறந்துவிட்டார்கள்.
"
"My grandfather and grandmother had already died before I was born.
","என் தாத்தாவும் மாமாவும் நான் பிறக்கும் முன்பே இறந்து விட்டார்கள்.
"
"My grandfather died when I was seven years old whereas my grandmother left the world three years back.
","என் மூன்று வயதில் உலகத்தை விட்டு பிரிந்தவர், என் அக்கா பதினோரு வயதில் என் அம்மா இறந்ததால்.
"
"My grandfather is now 87 years old, and my grandmother is 78.
","அப்பாவுக்கு இப்போது 86,அம்மாவுக்கு 78.
"
"My grandmother (mom's mother) died on Christmas Day in 1968.
","1968-ம் வருடம் எனது அக்காவின் கல்யாணநாளின் முந்தையநாள் எனது அத்தை (தந்தையின் அக்கா) அகால மரணம் அடைந்தார்.
"
"My grandmother (mother's mother)
","தாத்தா (என் அம்மாவின் தாய்மாமா)
"
"My grandmother also told me that story.
","எனக்கும் அம்மம்மா இந்தக் கதை சொல்லியிருக்கிறார்.
"
"My grandmother and I looked at each other.
","நானும் தாத்தாவும் ஒருவரையொருவர் பார்த்துக்கொண்டோம்.
"
"My grandmother and mother were the biggest reasons I came into the music industry.
","நான் கலைத்துறையில் காலடிவைப்பதற்கு பிரதான காரணக்கர்த்தாவாக இருந்தவர்கள் எனது தாயும் தந்தையும் ஆவர்.
"
"My grandmother answered it.
","அதற்கு தாத்தா பதில் அளித்தார்.
"
"My grandmother asked curiously.
","எங்க மாமா ஆச்சரியத்துடன் கேட்டார்.
"
"My grandmother bought this in 1984.
","கடந்த 1984ம் ஆண்டு எனது தந்தை அதனை வாங்கினார்.
"
"My grandmother comes to visit twice a month.
","எனது தாயார் மாதத்தில் இரண்டு தடவை என்னை வந்து பார்ப்பதை வழமையாக்கி இருந்தார்.
"
"My grandmother did do it all.
","மாமா எல்லாம் செய்தவர்.
"
"My grandmother did not change.
","அண்ணா மாற்றவில்லை.
"
"My grandmother didn't die.
","அண்ணா இறந்துவிட வில்லை.
"
"My grandmother died 22 years ago.
","அவரது தாயான என் மனைவி இறந்து 22 ஆண்டுகள் ஆகிவிட்டது.
"
"My grandmother died 50 years ago at the age of 85.
","என் கணவரின் அண்ணா 5 வருடங்களுக்கு முன் அவரது 50 ஆவது வயதில் இறந்து விட்டார்.
"
"My grandmother died before I was born and I never saw my grandfather.
","நான் பிறக்கும் முன் என் தாத்தா இறந்து விட்டார், கடைசி வரை பேரனை பார்க்காமலே சென்று விட்டார்.
"
"My grandmother died from cancer at the age of 53.
","எனது அன்னை அவரது 53-வது வயதில் புற்றுநோயால் இறந்தார்
"
"My grandmother died in 1960.
","என் அம்மா 1960லியே இறந்து விட்டார்.
"
"My grandmother died in 1969.
","அண்ணா செத்தது 1969ல்.
"
"My grandmother died in 2011 at the age of 102.
","பிறகு 102 வயதில் 2002ஆம் ஆண்டு அந்த அம்மா இறந்து போகிறார்.
"
"My grandmother died many years ago.
","பல வருஷங்களுக்கு முன்னே என் பெரியம்மா இறந்து போனார்.
"
"My grandmother died of cancer about 10 years ago.
","""""""என் அம்மா சுமார் பத்து வருடத்திற்கு முன் புற்று நோயால் இறந்தார்.""
"
"My grandmother died of the same sort of cancer.
","எனது அம்மாவும் இதே போன்று புற்று நோயால் இறந்து போனார்.
"
"My grandmother died on May 9.
","இவரின் அம்மா கடந்த மே மாதம் 9-ம் தேதி இறந்து விட்டார்.
"
"My grandmother doesn't know how to write.
","தாத்தாவுக்கு எழுதப்படிக்க தெரியாது.
"
"My grandmother doesn't like anything.
","அண்ணா எதுவுமே பிடிக்கவில்லை.
"
"My grandmother entered.
","தாதி உள்ளே வந்தாள்.
"
"My grandmother followed him.
","மாமி அவனைப் பின தொடர்ந்தாள்.
"
"My grandmother grew up without a father.
","அப்பா அம்மா இன்றி தாத்தாவிடம் வளர்ந்தவர்.
"
"My grandmother had 10.
","என் தாத்தா 10 பெற்றார்.
"
"My grandmother had Alzheimer's for 7 years.
","என் தாய்க்கு ஏழு வருடங்களாக சக்கரை நோய் இருந்தது.
"
"My grandmother had a daughter my age.
","என் மாமாவுக்கு என் வயதில் ஒரு பெண் இருக்கிறாள்.
"
"My grandmother had a horse.
","என் தாத்தாவுக்கொரு குதிரை இருந்தது - .
"
"My grandmother had a tip to remedy this problem.
","மாமா இந்தப்பிரச்சனையை தீர்க்க ஒரு ஐடியா போட்டார்.
"
"My grandmother had grown up without a father.
","அப்பா அம்மா இன்றி தாத்தாவிடம் வளர்ந்தவர்.
"
"My grandmother had one in the exact same colour.
","அதே நிறத்தில் அப்பா ஈருந்து ஒன்று வைத்திருந்தார்.
"
"My grandmother had one just like that!
","என் அம்மாவுக்கும் இதுபோன்ற ஒரு மணி இருந்தது!
"
"My grandmother had the same thing happen several years ago.
","இதே போன்று என் அம்மா பல வருடங்களுக்கு முன் சொன்னது இப்போது நடந்திருக்கிறது.
"
"My grandmother has 8 children.
","மாக வைத்திருக்கும் மாமாவுக்கு எட்டு குழந்தைகள்.
"
"My grandmother has been gone for nearly 20 years.
","அன்னை மறைந்து கிட்டத்தட்ட 20 வருடங்கள் ஆகி விட்டது.
"
"My grandmother hasn't come.
","தாத்தா வரவில்லை.
"
"My grandmother is 84 years old.
","என் அம்மாவுக்கு 84 வயதாகிறது.
"
"My grandmother is at home.
","அம்மா தாத்தா வீட்டில் இருக்கணும்.
"
"My grandmother is extremely sick.
","எனது மாமி மிகவும் சுகவீனமாய் இருக்கிறாள்.
"
"My grandmother is now 98 years old.
","தாத்தாவுக்கு இப்போது வயது 98.
"
"My grandmother is the oldest in this town.
","மூத்தம்மா தான் இந்த ஊரில் முது கிழவி.
"
"My grandmother is there now.
","இப்போ அண்ணா அங்கே தான் இருக்கார்.
"
"My grandmother is very ill.
","எனது மாமி மிகவும் சுகவீனமாய் இருக்கிறாள்.
"
"My grandmother is very simple.
","என்னோட மாமனார் ரொம்ப எளிமையானவர்.
"
"My grandmother is very very ill.
","எனது மாமி மிகவும் சுகவீனமாய் இருக்கிறாள்.
"
"My grandmother isn't so enthusiastic.
","என் மாமியார் அவ்வளவு உணர்ச்சிவசப்படுவதில்லை.
"
"My grandmother just passed away two days ago at 89 years old.
","எனது தந்தை 2 தினம் முன்னர்தான் 89 வயதை முடித்துத் 90 க்குள் அடிவைத்துள்ளார்.
"
"My grandmother laughed along with me.
","என்னுடன் சேர்ந்து தாத்தாவும் சிரித்தார்.
"
"My grandmother lifted her head.
","பெரிய அம்மா தனது தலையை உயர்த்தினாள்.
"
"My grandmother lived 100 years.
","எங்க தாத்தா 100 வருடம் வாழ்ந்தார்.
"
"My grandmother lived there until her death in 1986.
","என் அம்மா சிக்கிக்கொண்டார் 1986 அவள் இறக்கும் நாள் வரை.
"
"My grandmother lived to be 105 years old.
","என் மாமனார் 105 வயது வரை வாழ்ந்தார்கள் .
"
"My grandmother lived to be 105.
","என் மாமா 105 வயது வரை வாழ்ந்தார்கள்.
"
"My grandmother lived to the age of 105.
","என் மாமா 105 வயது வரை வாழ்ந்தார்கள்.
"
"My grandmother looked after her.
","அவளையே பார்த்துக்கொண்டிருந்தார் தாத்தா.
"
"My grandmother looked after the family.
","குடும்பத்தை எனது பெரியம்மாவே கவனித்து வந்தார்.
"
"My grandmother looked at me for just a moment.
","மாமா என்னைக் கொஞ்சநேரம் அப்படியே பார்த்துக் கொண்டிருந்தார்.
"
"My grandmother once said to me.
","ஒருமுறை என் பெரியம்மா சொன்னார்கள்.
"
"My grandmother opens her eyes and looks at me.
","மாமா சொக்கிய கண்களை திறந்து என்னை பார்த்தார்.
"
"My grandmother passed away in 1969.
","அண்ணா செத்தது 1969ல்.
"
"My grandmother passed away in 2008
","2008 இல் என் தாத்தா இறந்தார் - link
"
"My grandmother passed away in January.
","எனது தாயார் ஜனவரியில் மறைந்தார்.
"
"My grandmother passed away when I was in the third grade.
","தாத்தா நான் மூன்றாவது படிக்கும்போதே இறந்து போனார்.
"
"My grandmother played an important part in my life.
","என் அம்மாவும் என் வாழ்வில் பெரும்பங்கு வகித்திருக்கிறாள்.
"
"My grandmother purchased the property in 1934.
","எனது தாத்தா கடந்த 1934-ம் ஆண்டு இந்த காரை வாங்கினார்.
"
"My grandmother showed me.
","அம்மா என்னைக் காண்பித்தாள்.
"
"My grandmother spoke to us in English and Hindi.
","நாங்க ஹிந்தியிலேயும் மாமா ஆங்கிலத்திலேயும் அவங்களோடு பேசிக்கொண்டு வந்தோம்.
"
"My grandmother studied till the 10th standard.
","அம்மாவும் 10-ம் வகுப்பு வரை படிச்சிருக்காங்க.
"
"My grandmother tatted up until she was 93.
","என் மாமியார் 93 வயது வரைக்கும் ஞாபகசக்திக்குப் பஞ்சமில்லாமல் இருந்தார்.
"
"My grandmother tells me a story.
","என் அம்மம்மா ஒரு கதை சொல்வார்.
"
"My grandmother tells stories for me.
","எனக்காக அம்மா கதைகள் கேட்டுக்கொண்டிருக்கிறார்.
"
"My grandmother told me a story about my father when he was a young boy.
","நான் சிறுவனாக இருக்கையில் தாத்தா குறித்து அம்மா ஒரு கதை சொல்லுவாள்ஃ
"
"My grandmother told me a story many years ago.
","பல வருடங்களுக்கு முந்தைய ஒரு சம்பவம் பற்றி அண்ணா என்னிடம் சொல்லியதுண்டு.
"
"My grandmother told me a story once.
","ஒருமுறை என் அம்மா சொன்ன ஒரு கதை.
"
"My grandmother told me this story when I was young.
","இந்த கதை என் அம்மா எனக்கு சிறு வயதில் சொன்னது.
"
"My grandmother used to call my mother on sundays.
","என் அம்மாதான் என்னை ஞாயிற்றுக்கிழமைன்னுகூட பாக்காம கூப்புடுறாங்க.
"
"My grandmother was 9.
","என் அம்மா ஒன்பது பெற்றவள்.
"
"My grandmother was another mother to me.
","அந்த அம்மாதான் எனக்கு இன்னொரு அம்மா.
"
"My grandmother was at the Lodge for several years.
","என் மாமா ஊட்டியில் பல வருடங்கள் இருந்தவர்.
"
"My grandmother was born in 1880.
","என் தாத்தா 1880 ல் பிறந்திருக்க வேண்டும்.
"
"My grandmother was born in 1909.
","அண்ணா பிறந்தது 1909ல்!
"
"My grandmother was born in 1920.
","என் அப்பா 1920களில் பிறந்தவர்.
"
"My grandmother was born in France.
","என் அம்மா பிரான்சில் பிறந்தவர்.
"
"My grandmother was everything to me.
","என் அம்மா எனக்கு எல்லாமுமாக இருந்தார்.
"
"My grandmother was married and childless for many years.
","மாமாவுக்கு கல்யாணம் ஆகி பல வருடம் ஆகியும் குழந்தை இல்லாமல் இருந்தது.
"
"My grandmother was quick to reply.
","அம்மா விரைந்து பதிலளித்தமைக்கு .
"
"My grandmother was taking care of them.
","அவற்றை, என் தாத்தா கவனித்து வந்தார்.
"
"My grandmother was very hard of hearing.
","கேள்விப்பட்ட என் பெரியம்மா மிகவும் கஷ்டப்பட்டு விட்டாள்.
"
"My grandmother was waiting to go.
","மாமி போவதற்காக காத்திருந்தார்.
"
"My grandmother was watching.
","அண்ணா பார்த்துக்கொண்டே இருந்தார்.
"
"My grandmother was with me.
","என் மாமியாரும் என்னுடன் இருந்தார்.
"
"My grandmother went down.
","மாமா கீழிறங்கிப் போய் விட்டார்.
"
"My grandmother went to Canada three times in her life.
","மூன்று தடவைகள் மாமி கனடா வந்து இருந்தார்.
"
"My grandmother will narrate a story.
","என் அம்மம்மா ஒரு கதை சொல்வார்.
"
"My grandmother worked as a nurse in the army.
","அம்மா இராணுவத்தில் நர்ஸாக பணியாற்றியவர்.
"
"My grandmother worked inside the home.
","எனது அம்மா வீட்டில் உள்ளே வேலைகளை செய்வார் கள்.
"
"My grandmother would often say.
","என் அம்மாச்சி அடிக்கடி சொல்வார்கள்.
"
"My grandmother's did once.
","என் மாமியார் ஒரு முறை செய்து இருக்காங்க.
"
"My grandmother's family lived there.
","தாத்தா குடும்பம் அங்கேயே வாழ்ந்து வந்தது.
"
"My grandmother's first husband passed away.
","எனது மாமனாரின் முதல் மனைவி மறைந்து விட்டார்.
"
"My grandmother's health condition is worrying.
","என் அம்மாவின் உடல்நிலை கவலைக் கிடமாக இருக்கிறது.
"
"My grandmother's house had such a room.
","எங்கள் தாத்தா வீட்டிலும் இதை போன்ற ஒரு அறை வீடு உண்டு.
"
"My grandmother's house is close.
","மாமாவின் வீடும் நெருங்கி விட்டது.
"
"My grandmother's house is situated near the forest.
","என் தாத்தா வீடு வயல் வேலிக்கு அருகில் இருக்கும்.
"
"My grandmother's husband had two brothers.
","என் கணவரின் உடன்பிறந்தோர் இரு அண்ணன்கள்.
"
"My grandmother's name.
","என் தாத்தாவின் பெயர்.
"
"My grandmother's response
","தாதியின் பதிலோ
"
"My grandmother's response did not satisfy me.
","அண்ணாச்சிக்கு என் பதில் திருப்தி அளிக்கவில்லை.
"
"My grandmother, mother, aunt, and all the aunties.
","மாமா, அத்தை, பசங்க எல்லோரும்.
"
"My grandmothers name.
","என் தாத்தாவின் பெயர்.
"
"My great grandmother lived past 100 years old.
","எங்க தாத்தா 100 வருடம் வாழ்ந்தார்.
"
"My great grandmother lived to 105 years of age.
","என் மாமனார் 105 வயது வரை வாழ்ந்தார்கள் .
"
"My great grandmother passed away this morning at the age of 89.
","89 வயதான என் தாயார் மாரடைப்பால் இன்று காலை இறந்துவிட்டார்.
"
"My mom and my grandmother asked about the school.
","அம்மாவும் அப்பாவும் பள்ளியை பற்றி விசாரித்தார்கள்.
"
"My mother - your grandmother.
","என் அண்ணா - உன் பெரியப்பா.
"
"My mother and both grandmothers died in their 60's.
","என் அம்மா, அண்ணன் ஆகிய இருவருமே 60 வயதிற்குள் இறந்துவிட்டார்கள்.
"
"My mother and grandmother are both that way.
","அம்மா, பெரியம்மா இருவரும் அப்படித்தான்.
"
"My mother and grandmother are going to eat.
","அப்பாவும் அம்மாவும் சாப்பிட போறாங்க.
"
"My mother and grandmother asked me.
","என்னிடம் அம்மாவும், தம்பியும் கேட்கிறார்கள்.
"
"My mother and grandmother raised me.
","எனது அன்னையும் எனது தமக்கையும்தான் என்னை வளர்த்தார்கள்.
"
"My mother and grandmother taught me to garden.
","எனது அம்மா, அப்பா தோட்டம் செய்து தான் என்னை படிக்க வைத்தார்கள்.
"
"My mother and grandmother were very beautiful women.
","அம்மாவும்,பெண்ணும் அழகான பெண்கள்தான்.
"
"My mother and grandmothers are beautiful women.
","அம்மாவும்,பெண்ணும் அழகான பெண்கள்தான்.
"
"My mother and my grandmother looked at each other.
","அம்மா,மற்றும் தாத்தா ஒருவரை ஒருவர் பார்த்துக்கொண்டனர்.
"
"My paternal grandmother is no more.
","என் மாமியார் + மாமனார் இப்போது இல்லை.
"
"Next is my grandmother.
","அடுத்து என் தாத்தா.
"
"Not for my grandmother.
","என் அண்ணாவுக்காக இல்லை.
"
"Now, I live with my grandmother and uncle.
","இப்போது மாமியார் மற்றும் மாமானாருடன் தனியாக தங்கியிருக்கிறேன்.
"
"Oh yeah, she's also a grandmother.
","ஆமாம் அவளும் ஒரு தாதிப் பெண்தான்.
"
"On my dad's side of the family my grandmother, dad and sister were all artists.
","என் குடும்பத்தில் பெரியப்பா, அப்பா, அண்ணா என அனைவரும் கலை இயக்குநர்கள் தான்.
"
"One a grandmother, the other a father.
","ஒருவர் பேரன், இன்னொருவர் தாத்தா.
"
"One day I asked my grandmother.
","ஒரு நாள் தாத்தாவிடம் கேட்டோம்.
"
"One day the child's grandmother came to my house and knocked on the door.
","ஒரு நாள் அந்த ஆண்ட்டி மகள் வந்து என் வீட்டு கதவை தட்டினால்.
"
"One of the participants included an 80 year old grandmother.
","அதில் கணிசமான அளவிற்கு பெண்கள் கலந்துகொண்டிருந்தனர் அவர்களில் ஒருவராக 80 வயதுடைய அம்மா ஒருவரும் கலந்துகொண்டிருந்தார்.
"
"Our grandmothers used this method.
","நம் முன்னோர்கள் இந்த உணவு முறையை பயன்படுத்தி வந்தார்கள்.
"
"Robber beaten up by 82-year-old grandmother
","இந்திய மருமகள் 82 வயதான மாமியாரை அடித்து பிடித்தார்
"
"Sayesha is also the grandmother of former legendary actors Dilip Kumar and Saira Banu.
","பழம்பெரும் நடிகர்கள் திலீப் குமார் மற்றும் சாய்ரா பானு இருவரின் பேத்தி தான் சயிஷா.
"
"She could be his mother or grandmother.
","இவர் உங்கள் மனைவியாகவோ, தாயாகவோ இருக்கலாம்.
"
"She had lost her grandmother and several relatives to it.
","மாமன் மற்றும் பல உறவினர்களை இழந்து விட்டான்.
"
"She is a grandmother!
","அவள் அண்ணா!
"
"She is like my grandmother.
","அவள் எனது அம்மம்மா போல.
"
"She is not only a mother but a grandmother.
","அம்மு தங்கமகள் மட்டுமல்ல ஒரு தாயுமானாள்.
"
"She is the grandmother of three children.
","இந்த பெண்மணி மூன்று பிள்ளைகளின் தாயுமாவார்.
"
"She is watching TV with her grandmother.
","அவள் என் அம்மாவுடன் டிவி பார்க்கிறாள்.
"
"She learned the basics from her grandmother.
","இவர் தனது மாமியிடமிருந்து அடிப்படைக் கல்வியைக் கற்றார்.
"
"She lives with her parents, grandmother, brother, and three sisters.
","அவர் தனது அம்மா (ஊர்வசி), தாத்தா மற்றும் மூன்று சகோதரிகளுடன் வசித்து வருகிறார்.
"
"She understood her grandmother.
","அவளுக்கு மாமியாரை புரிந்துகொள்ள முடிந்தது.
"
"She was grandmother to a girl, too.
","அவளும் ஒரு பெண்குழந்தைக்கு தாயானாள்.
"
"She was kind to others and was a loving mother and grandmother.
","இவ்வாறு தான் ஏனையவர்களுடனும் அவர் அன்பாகவும், ஒரு சிறந்த தாயாகவும் நடந்துகொண்டார்.
"
"She's a grandmother!
","அவள் அண்ணா!
"
"She's our greatest grandmother.
","""அவள்தான் எங்களின் """"மாபெரும் தாய்.""""""
"
"She's soon to be the grandmother of another infant.
","விரைவிலேயே அவர் மற்றொரு குழந்தைக்கு தாயாக உள்ளார்.
"
"Some would be grandmothers.
","சிலர் அண்ணன் தங்கையா இருப்பாங்க.
"
"Sometimes it would be the mother and grandmother.
","அது சமயங்களில் அம்மாவாகவும் தங்கையாகவும் இருக்கும்.
"
"Tears streamed from the eyes of grandmothers.
","தாத்தாவின் கண்களில் இருந்து கண்ணீர் பொங்குகிறது.
"
"Thank you, but I'm not a grandmother.
","நன்றி ,ஆனா நான் அண்ணன் இல்ல.
"
"Thanks again to everyone who offered their condolences on the loss of my grandmother.
","என் மாமியின் இறப்பிற்கு அனுதாபம் தெரிவித்த அனைவருக்கும் மீண்டும் நன்றிகள்
"
"That day was also my grandmother's birthday.
","அன்றைய தினம் எனது தங்கையின் பிறந்த நாளும்கூட.
"
"That is what my grandmother told me many years ago.
","பல ஆண்டுகளுக்கு முன்பு, இதையே தான், என் அம்மாவிடம் சொன்னேன்.
"
"That smile reminded me of my grandmother.
","அந்த சிரிப்பு எனக்கு என் தாயை நினைவூட்டியது.
"
"That was in my grandmother's house, too.
","அதுவும் எங்கள் தாத்தாவின் வீட்டில்.
"
"That's the magic of grandmothers!
","இது தாதாக்களின் தந்திரம்!
"
"That's what he said about his grandmother today.
","அப்படித்தான் இன்றைக்கு அம்மா பற்றி சொன்னாள் நேயமுகில்.
"
"The Ohio woman facing criminal charges connected to a fight inside a McDonald's that stemmed from her anger about a slushy order pleaded guilty in 2014 to a separate attack on her grandmother.
","ஒரு மெக்டொனால்டுக்குள் ஏற்பட்ட சண்டை தொடர்பான கிரிமினல் குற்றச்சாட்டுகளை எதிர்கொள்ளும் ஓஹியோ பெண், 2014 ஆம் ஆண்டில் தனது தாத்தா மீது தனித் தாக்குதலுக்கு குற்றத்தை ஒப்புக்கொண்டார். . . .
"
"The baby is being raised by his grandmother.
","குழந்தை அவரது மாமியாரிடம் வளந்து வருகிறது.
"
"The child is being brought up by its grandmother.
","குழந்தை அவரது மாமியாரிடம் வளந்து வருகிறது.
"
"The child subsequently told her grandmother and the matter was reported to the police.
","பின்னர் சம்பவம் தொடர்பில் குறித்த சிறுமி தாயாரிடம் தெரிவித்ததையடுத்து பொலிசாரிடம் முறைப்பாடு செய்யப்பட்டது.
"
