eng_Latn,guj_Gujr
"""On August 8th, the """"wholly defensive"""" doctrine was quickly abandoned when Iraq declared Kuwait to be its 19th province and Saddam Hussein named his cousin, Ali Hassan Al-Majid, as its military-governor.""
","""8 ઓગસ્ટના દિવસે, """"પૂર્ણપણે સંરક્ષણાત્મક"""" સિદ્ધાંતનો તાત્કાલિક ત્યાગ કરવામાં આવ્યો, ઈરાકે કુવૈતને ઈરાકના 19મા પ્રાંત તરીકે ઘોષિત કર્યો અને સદ્દામ હુસૈને તેના પિત્રાઈ અલી હસન અલગ-મજીતને ત્યાંનો લશ્કરી-શાસક જાહેર કર્યો.""
"
"""Parineeti previously said that her cousin Priyanka Chopra advised her to choose """"interesting"""" films instead of doing films """"just for the sake of it.""""""
","""પરિણીતીએ અગાઉ કહ્યું હતું કે તેની પિતરાઇ ભાઇ પ્રિયંકા ચોપડાએ તેમને સલાહ આપી હતી કે """"ફક્ત તેના માટે"""" ફિલ્મો કરવાને બદલે """"રસપ્રદ"""" ફિલ્મો પસંદ કરો.""
"
"""Rihanna posted photos with her cousin on Instagram late Tuesday saying, """"RIP cousin... can't believe it was just last night that I held you in my arms! never thought that would be the last time I felt the warmth in your body!!!""
","રિહાનાએ તેના કઝિન સાથેની તસવીર ઈન્સ્ટાગ્રામ પર મૂકીને લખ્યું હતું, 'RIP કઝિન. . . ગઈ કાલે રાત્રે જ હજુ તારો હાથ મારા હાથમાં હતો અને ત્યારે મને કોઈ કલ્પના નહોતી કે આ છેલ્લી વાર હું તારી હૂંફ મેળવી રહી છું!
"
"""Saddam Hussein's cousin, Ali Hassan al-Majid was directly in charge of the chemical attacks against the Kurds, earning him the epithet, """"Chemical Ali.""""""""""
","""સદ્દામ હુસૈનના પિતરાઇ ભાઇ અલી હસન અલ-માજિદ કુર્દસ સામે રાસાયણિક હુમલાઓનો સીધો હવાલો સંભાળે છે, તેને ઉપનામ આપતા, """"કેમિકલ અલી.""""""
"
"""She admitted: """"I knew from a very young age that I was promised to my cousin and I always felt very uncomfortable about that.""""""
","""તેણે સ્વીકાર્યુંઃ """"હું ખૂબ જ નાનપણથી જાણું છું કે મને મારા પિતરાઇ ભાઈ સાથે વચન આપવામાં આવ્યું હતું અને હું હંમેશાં તેના વિશે ખૂબ જ અસ્વસ્થતા અનુભવું છું.""
"
"""She called her cousin """"Geese"""" Ausbie, wondering if the famed Harlem Globetrotters might consider a woman player.""
","""તેણીએ તેના પિતરાઈ ભાઇ """"ગીઝ"""" ઓસ્બીને ફોન કર્યો હતો, જો તે આશ્ચર્યથી જો હાર્લેમ ગ્લોબટ્રૉટર્સ એક મહિલા ખેલાડીને ધ્યાનમાં લેશે.""
"
"""She continued: """"My thoughts and feelings of dread were not just about that moment, but about a future where my children, cousins, and cousins will face the same discrimination and hatred.""
","""ગુરલેને આગળ કહ્યુંઃ """"મારા વિચારો અને ભયની લાગણી તે ક્ષણ વિશે જ નહોતી, પરંતુ એક ભવિષ્ય વિશે છે જ્યાં મારા બાળકો, ભત્રીજા અને ભત્રીજાઓને સમાન ભેદભાવ અને નફરતનો સામનો કરવો પડશે.""
"
"""Siblings: """"He is a player known not only for his athletic achievements but for his ability to interact and stay close to his siblings,"""" said Michel, his cousin.""
","""બહેનઃ """"તે એક ખેલાડી છે જે તેના એથલેટિક સિદ્ધિઓ માટે જ નહીં પરંતુ તેના ભાઈબહેનોની નજીક રહેવા અને તેમની સાથે રહેવાની ક્ષમતા માટે જાણીતો છે.""
"
"""Technically, Armadillosuchus has been classified as a distant crocodile cousin, a """"sphagesaurid crocodylomorph,"""" meaning it was closely related to the South American Sphagesaurus.""
","""ટેક્નિકલ રીતે, આર્મૅડિલસોચસને દૂરના મગરના પિતરાઈ તરીકે વર્ગીકૃત કરવામાં આવ્યું છે, """"સ્પાજૌસૌરીડ ક્રૉકોડીલોમોર્ફ,"""" જેનો અર્થ છે કે તે દક્ષિણ અમેરિકન સ્પિજૌસૌરસ સાથે ગાઢ સંબંધ ધરાવે છે.""
"
"""Thanks to the help of Braga and his cousins, who flew over to stay with him for months on many occasions.""""""
","બ્રગા અને તેના પિતરાઇ ભાઈઓની મદદ બદલ આભાર, જેમણે ઘણા પ્રસંગો પર મહિનાઓ સુધી તેની સાથે રહેવા માટે ઉડાન ભરી હતી.
"
"""Thanks to the help of Braga and his cousins, who flew over to stay with him for months on manyoccasions.""""""
","બ્રગા અને તેના પિતરાઇ ભાઈઓની મદદ બદલ આભાર, જેમણે ઘણા પ્રસંગો પર મહિનાઓ સુધી તેની સાથે રહેવા માટે ઉડાન ભરી હતી.
"
"""That is, finding out: """"Brother's wife - who is she to me?,"""" Know that relatives and cousins, as well as their wives, are defined in several different terms.""
",""" છે). એટલે કે, બહાર શોધવાઃ """"મારી પત્નીએ ભાઈ - જે તે મને છે,"""" તમે જાણો છો કે ભાઈઓ અને ભાંડુઓ, તેમજ તેમના પત્ની, કેટલાક વિવિધ શરતો દ્વારા નક્કી થાય છે.""
"
"""The England international once explained in an interview with GQ magazine: """"It came about when me and my brother and my cousins were in my apartment.""
","""ઈંગ્લેન્ડ આંતરરાષ્ટ્રીય એકવાર એક સમજાવાયેલ જીક્યુ સામયિક સાથે મુલાકાતઃ """"તે સમયે હું અને મારા ભાઈ અને મારા પિતરાઇ મારા ઍપાર્ટમેન્ટમાં હતા.""
"
"""The England international once explained in aninterview with GQ magazine: """"It came about when I and my brother and my cousins were in my apartment.""
","""ઈંગ્લેન્ડ આંતરરાષ્ટ્રીય એકવાર એક સમજાવાયેલ જીક્યુ સામયિક સાથે મુલાકાતઃ """"તે સમયે હું અને મારા ભાઈ અને મારા પિતરાઇ મારા ઍપાર્ટમેન્ટમાં હતા.""
"
"""The Southern cousin is sometimes referred to as """"Southern bayberry shrub""""; others call it """"wax-myrtle,"""" which can be deceiving since Myrica pensylvanica can also be referred to in this way.""
","""દક્ષિણ પિતરાઇને કેટલીકવાર """"દક્ષિણ બાયબેરી ઝાડવા"""" તરીકે ઓળખવામાં આવે છે; અન્ય લોકો તેને """"મીણ-મર્ટલ"""" કહે છે, જે છેતરપિંડી કરી શકાય છે કારણ કે મારિકા પેન્સિલવેનિકાને પણ આ રીતે ઉલ્લેખ કરી શકાય છે.""
"
"""The cousin that constantly swears in front of you even though you're only 11 and you're not even allowed to stay up late enough to watch """"Frasier.""""""
","""તે પિતરાઇ ભાઈ જે સતત તમારી સામે શપથ લે છે, તેમ છતાં તમે માત્ર 11 જ છો અને તમને """"ફ્રેઝર"""" જોવા માટે મોડા પર્યાપ્ત રહેવાની મંજૂરી પણ નથી.""
"
"""The evolution of pterosaurs roughly paralleled that of their terrestrial cousins, the dinosaurs, as the small, """"basal"""" species of the late Triassic period gradually gave way to bigger, more advanced forms in the Jurassic and Cretaceous.""
","""પેટેરોસર્સનું ઉત્ક્રાંતિ તેના પાર્થિવ પિતરાઈઓની આશરે સમાંતર છે, ડાયનાસોર, અંતમાં ટ્રીસીક સમયગાળાની નાની, """"બેઝાલ"""" પ્રજાતિઓએ ધીમે ધીમે જુરાસિક અને ક્રેટેસિયસના મોટા, વધુ આધુનિક સ્વરૂપોનો માર્ગ મોકળો કર્યો હતો.""
"
"""The notion of """"family"""" was not just the people who lived in your immediate household, but your extended network of cousins and kinfolk, both living and deceased.""
","""""""કુટુંબ"""" ની કલ્પના એ ફક્ત એવા લોકો ન હતા કે જે તમારા તાત્કાલિક ઘરે રહેતા હતા, પરંતુ તમારા પિતરાઈ ભાઈઓ અને જીવતા, અને મૃતકના બંનેનો વિસ્તૃત નેટવર્ક.""
"
"""The so-called """"Mormon Will"""" gave US$1.56 billion to various charitable organizations (including US$625 million to the Howard Hughes Medical Institute); nearly US$470 million to the upper management in Hughes' companies and to his aides; US$156 million to first cousin William Lummis; US$156 million split equally between his two ex-wives Ella Rice and Jean Peters; and US$156 million to a gas-station owner named Melvin Dummar.""
","""""""મોર્મોન વીલ"""" ડબ, તે $ 1.56 બિલિયનને કેટલીક સખાવતી સંસ્થાઓ માટે છોડી દીધી; લગભગ 470 મિલિયન ડોલર હ્યુજની કંપનીઓ અને તેના સહાયકોના અધિકારીઓ; $ 156 મિલિયન હ્યુજિસના પ્રથમ પિતરાઈ ભાઈ, વિલિયમ લુમીસ; 156 મિલિયન ડોલર તેમની બે ભૂતપૂર્વ પત્નીઓ, એલ્લા ચોખા અને જીન પીટર્સ વચ્ચે સમાન રીતે વિભાજિત; અને મેલ્વિન ડુમર નામના ગેસ-સ્ટેશનના માલિકને 156 મિલિયન ડોલર આપ્યા હતા.""
"
"""The so-called """"Mormon Will"""" gave US$1.56 billion to various charitable organizations (including US$625 million to the Howard Hughes Medical Institute); nearly US$470 million to the upper management in Hughes's companies and to his aides; US$156 million to first cousin William Lummis; US$156 million split equally between his two ex-wives Ella Rice and Jean Peters; and US$156 million to a gas-station owner named Melvin Dummar.""
","""""""મોર્મોન વીલ"""" ડબ, તે $ 1.56 બિલિયનને કેટલીક સખાવતી સંસ્થાઓ માટે છોડી દીધી; લગભગ 470 મિલિયન ડોલર હ્યુજની કંપનીઓ અને તેના સહાયકોના અધિકારીઓ; $ 156 મિલિયન હ્યુજિસના પ્રથમ પિતરાઈ ભાઈ, વિલિયમ લુમીસ; 156 મિલિયન ડોલર તેમની બે ભૂતપૂર્વ પત્નીઓ, એલ્લા ચોખા અને જીન પીટર્સ વચ્ચે સમાન રીતે વિભાજિત; અને મેલ્વિન ડુમર નામના ગેસ-સ્ટેશનના માલિકને 156 મિલિયન ડોલર આપ્યા હતા.""
"
"""The so-called """"Mormon Will"""" gave US$1.56 billion to various charitable organizations (including US$625 million to the Howard Hughes Medical Institute); nearly US$470 million to the upper-management in Hughes' companies and to his aides; US$156 million to first cousin William Lummis; US$156 million split equally between his two ex-wives Ella Rice and Jean Peters; and US$156 million to a gas-station owner named Melvin Dummar.""
","""""""મોર્મોન વીલ"""" ડબ, તે $ 1.56 બિલિયનને કેટલીક સખાવતી સંસ્થાઓ માટે છોડી દીધી; લગભગ 470 મિલિયન ડોલર હ્યુજની કંપનીઓ અને તેના સહાયકોના અધિકારીઓ; $ 156 મિલિયન હ્યુજિસના પ્રથમ પિતરાઈ ભાઈ, વિલિયમ લુમીસ; 156 મિલિયન ડોલર તેમની બે ભૂતપૂર્વ પત્નીઓ, એલ્લા ચોખા અને જીન પીટર્સ વચ્ચે સમાન રીતે વિભાજિત; અને મેલ્વિન ડુમર નામના ગેસ-સ્ટેશનના માલિકને 156 મિલિયન ડોલર આપ્યા હતા.""
"
"""The source said: """"It's a huge deal that Nick brought Priyanka to his cousin's wedding.""
","""""""આ એક મોટો સોદો છે કે નિક પ્રિયંકાને તેના કઝીન લગ્નમાં લાવ્યો હતો.""
"
"""The woman's husband (Inez's cousin) was miserable enough to be suicidal but did not """"the nerve"""" to take his own life.""
","""મહિલાના પતિ (ઇનેઝના પિતરાઇ) આત્મહત્યા કરવા માટે પૂરતી કંગાળ હતી, પરંતુ પોતાના જીવનને લઇને """"નર્વ"""" નહોતો.""
"
"""The woman's husband Inez's cousin was miserable enough to be suicidal but did not """"the nerve"""" to take his own life.""
","""મહિલાના પતિ (ઇનેઝના પિતરાઇ) આત્મહત્યા કરવા માટે પૂરતી કંગાળ હતી, પરંતુ પોતાના જીવનને લઇને """"નર્વ"""" નહોતો.""
"
"""This """"wholly defensive"""" doctrine was quickly abandoned when, on 8 August, Iraq declared Kuwait to be Iraq's 19th province and Saddam named his cousin, Ali Hassan Al-Majid, as its military-governor.""
","""8 ઓગસ્ટના દિવસે, """"પૂર્ણપણે સંરક્ષણાત્મક"""" સિદ્ધાંતનો તાત્કાલિક ત્યાગ કરવામાં આવ્યો, ઈરાકે કુવૈતને ઈરાકના 19મા પ્રાંત તરીકે ઘોષિત કર્યો અને સદ્દામ હુસૈને તેના પિત્રાઈ અલી હસન અલગ-મજીતને ત્યાંનો લશ્કરી-શાસક જાહેર કર્યો.""
"
"""This """"wholly defensive"""" doctrine was quickly abandoned when, on 8 August, Iraq declared Kuwait to be the 19th province of Iraq and Saddam Hussein named his cousin, Ali Hassan Al-Majid as its military-governor.""
","""8 ઓગસ્ટના દિવસે, """"પૂર્ણપણે સંરક્ષણાત્મક"""" સિદ્ધાંતનો તાત્કાલિક ત્યાગ કરવામાં આવ્યો, ઈરાકે કુવૈતને ઈરાકના 19મા પ્રાંત તરીકે ઘોષિત કર્યો અને સદ્દામ હુસૈને તેના પિત્રાઈ અલી હસન અલગ-મજીતને ત્યાંનો લશ્કરી-શાસક જાહેર કર્યો.""
"
"""This """"wholly defensive"""" doctrine was quickly abandoned, as On August 8, Iraq declared Kuwait to be the 19th province of Iraq and Saddam Hussein named his cousin, Ali Hassan Al-Majid as its military-governor.""
","""8 ઓગસ્ટના દિવસે, """"પૂર્ણપણે સંરક્ષણાત્મક"""" સિદ્ધાંતનો તાત્કાલિક ત્યાગ કરવામાં આવ્યો, ઈરાકે કુવૈતને ઈરાકના 19મા પ્રાંત તરીકે ઘોષિત કર્યો અને સદ્દામ હુસૈને તેના પિત્રાઈ અલી હસન અલગ-મજીતને ત્યાંનો લશ્કરી-શાસક જાહેર કર્યો.""
"
"""This prefix, like its cousin above, often should be translated as """"damned"""" thing , or something more mild than you might think.""
","""આ ઉપસર્ગ, ઉપરના તેના પિતરાઈની જેમ, ઘણી વખત """" તિરસ્કૃત """" (વસ્તુ) તરીકે અનુવાદિત થવું જોઈએ, અથવા તમને લાગે તે કરતાં વધુ નરમ હોય છે.""
"
"""This prefix, like its cousin above, often should be translated as """"damned"""" thingor something more mild than you might think.""
","""આ ઉપસર્ગ, ઉપરના તેના પિતરાઈની જેમ, ઘણી વખત """" તિરસ્કૃત """" (વસ્તુ) તરીકે અનુવાદિત થવું જોઈએ, અથવા તમને લાગે તે કરતાં વધુ નરમ હોય છે.""
"
"""To be precise, the so-called """"civet cat"""" -- more properly known as the palm civet -- isn't really a cat at all, but rather a distant cousin of the mongoose.""
","""ચોક્કસ કરવા માટે, કહેવાતા """"જહાજની નાની હોડી બિલાડી"""" - વધુ સારી રીતે પામ સીવીટ તરીકે ઓળખાય છે - તે ખરેખર એક બિલાડી નથી, પરંતુ મંગૂસની દૂરના પિતરાઈ છે.""
"
"""Two easily confused Spanish words are derecho and derecha.Both are distant cousins of the English words """"right"""" and """"direct,"""" and that is the source of the confusion: Depending on the context and usage, these words can carry meanings such as """"right"""" (the opposite of left), """"right"""" (entitlement), """"straight,"""" """"upright"""" and """"directly.""""""
","""બંને """"હક"""" અને """"સીધી"""" અંગ્રેજી શબ્દોના દૂરના પિતરાઈ છે અને તે આ મૂંઝવણનો સ્રોત છેઃ સંદર્ભ અને વપરાશ પર આધાર રાખીને, આ શબ્દો """"અધિકાર"""" (ડાબી બાજુના વિરુદ્ધ), """" અધિકાર """" (ઉમેદવારી),"""" સીધા, """""""" સીધા """"અને"""" સીધી.""
"
"""Upon his return, Min Yeong-ik reported to his cousin: """"I was born in the dark.""
","""તેના પર પાછો ફર્યો ત્યારે, મિન યાંગ-આઈકે તેના પિતરાઈ ભાઈને જાણ કરીઃ """"હું અંધારામાં જન્મ્યો હતો.""
"
"""We honor cousin Adam, who served in the Army and then bravely fought cancer before he crossed over...""""""
","""અમે પિતરાઈ આદમ, જે આર્મીમાં સેવા આપી હતી અને પછી બહાદુરીથી કેન્સર સામે લડવા તે ઓળંગી કરતાં . . . """"""
"
"""What Ahasuerus didn't know was that his next queen was actually a nice Jewish girl named Hadassah (""""myrtle"""" in Hebrew), who had been brought up by her uncle (or possibly cousin), Mordecai.""
","""અહાશ્વેરોશને ખબર નહોતી કે તેમની આગામી ક્વીન વાસ્તવમાં એક સરસ યહૂદી છોકરી હતી જે હદાસાહ (હીબ્રુમાં """"મર્ટલ"""") હતી, જેને તેમના કાકા (અથવા કદાચ પિતરાઈ) મોર્દખાય દ્વારા લાવવામાં આવી હતી.""
"
"""What makes Khaan special are the completeness of its fossil remains and its unusually blunt skull, which appears to be more """"primitive,"""" or basal, than those of its oviraptor cousins.""
","""ખોખને ખાસ બનાવે છે તે તેના અશ્મિભૂત અવશેષો અને તેના અસામાન્ય રૂંધાયેલી ખોપરીની સંપૂર્ણતા છે, જે તેના """"અવિવાર્થર પિતરાઈ"""" કરતાં વધુ """"આદિમ"""" અથવા મૂળભૂત હોય તેવું લાગે છે.""
"
"""While taping the Tonight Show with Jay Leno on October 19, 2007, Berry displayed a distorted image of her face, remarking: """"Here's where I look like my Jewish cousin!""""""
","""19 ઓક્ટોબર, 2007ના રોજ ટુનાઇટ શો વિથ જે લીનો ના ટેપિંગ દરમિયાન, બેરીએ તેના ચહેરાનું વિકૃત રૂપ બતાવીને જણાવ્યુઃ """"હું તેમાં મારા જ્યૂઇશ પિતરાઇ જેવી લાગું છું!""
"
"""While the cousins are greeting each other, """"the infant [John the Baptist] leaped in her [Elizabeth's] womb"""" (Luke 1:41).""
","""જ્યારે પિતરાઈ એકબીજાને શુભેચ્છા પાઠવે છે, ત્યારે """"[જ્હોન બાપ્તિસ્ત] બાળક [એલિઝાબેથના] ગર્ભાશયમાં લપસી ગયું"""" (એલજે 1:41).""
"
"""You can also decide to eliminate categories like """"relatives more distant than first cousins"""" or """"friends from volunteer work.""""""
","""તમે """"પ્રથમ પિતરાઈ કરતાં સંબંધીઓ વધુ દૂરના"""" અથવા """"સ્વયંસેવક કાર્યના મિત્રો"""" જેવી કેટેગરીઝને દૂર કરવાનો પણ નક્કી કરી શકો છો.""
"
"""You know who I mean: the people with breast cancer horror stories, the ones that say, """"My cousin just passed away from that last week.""""""
","""તમે જાણો છો કે હું કોણ છુંઃ સ્તન કેન્સર હોરર વાર્તાઓ ધરાવતા લોકો, જે કહે છે કે, """"મારા પિતરાઇ જ છેલ્લા અઠવાડિયાથી દૂર પસાર થયો છે.""
"
"""You might also decide to eliminate categories like """"relatives more distant than first cousins"""" or """"friends from volunteer work.""""""
","""તમે """"પ્રથમ પિતરાઈ કરતાં સંબંધીઓ વધુ દૂરના"""" અથવા """"સ્વયંસેવક કાર્યના મિત્રો"""" જેવી કેટેગરીઝને દૂર કરવાનો પણ નક્કી કરી શકો છો.""
"
"""Your grandmother's first cousin would be your first cousin, twice removed because you are separated by two generations.""""""
","તમારી દાદીની પ્રથમ પિતરાઈ તમારા પ્રથમ પિતરાઇ ભાઈ હશે, બે વખત દૂર કરવામાં આવશે કારણ કે તમે બે પેઢીઓથી અલગ થઈ ગયા છો.
"
"""be complete without mentioning the giant """"dino-fish"""" of the Triassic, Jurassic and Cretaceous periods (though these fish weren't as numerous as their oversized dinosaur cousins).""
","""માછલીનું કોઈ ઇતિહાસ ટ્રૅથિક, જુરાસિક અને ક્રેટેસિયસ સમયગાળાની વિશાળ """"દીનો-માછલી"""" નો ઉલ્લેખ કર્યા વિના પૂર્ણ થશે (જોકે આ માછલીઓ તેમના વિશાળ ડાયનાસૌર ભાંડુઓ તરીકે અસંખ્ય ન હતા).""
"
"""o be precise, the so-called """"civet cat"""" - more properly known as the palm civet - isn't really a cat at all, but rather a distant cousin of the mongoose.""
","""ચોક્કસ કરવા માટે, કહેવાતા """"જહાજની નાની હોડી બિલાડી"""" - વધુ સારી રીતે પામ સીવીટ તરીકે ઓળખાય છે - તે ખરેખર એક બિલાડી નથી, પરંતુ મંગૂસની દૂરના પિતરાઈ છે.""
"
"(By the way, Ictitherium wasn't technically a prehistoric dog, but more of a distant cousin.)
","(એ રીતે, ઇક્ટેરીયમ તકનીકી રીતે પ્રાગૈતિહાસિક કૂતરો ન હતો , પરંતુ દૂરના પિતરાઈના વધુ.
"
"(Lady Jane Grey had a short rule just before Mary I, as Protestants tried to avoid having a Catholic monarch, and Empress Matilda attempted to win the crown that her father had left to her and her cousin usurped -- but neither of these women made it to a coronation.)
","(લેડી જેન ગ્રે મેરી આઇ પહેલાં જ ટૂંકા નિયમ ધરાવે છે, કેમ કે પ્રોટેસ્ટન્ટે કેથોલિક રાજા હોવાનો ટાળવાનો પ્રયાસ કર્યો હતો અને મહારાણી માટિલ્ડાએ તેના તાજને જીતવા માટે પ્રયત્ન કર્યો હતો, જે તેના પિતાએ અને તેના પિતરાઈને છોડી દીધી હતી - પરંતુ આમાંની સ્ત્રીઓ તે રાજગાદીએ બનાવી.
"
"(Lady Jane Grey had a short rule just before Mary I, as Protestants tried to avoid having a Catholic monarch, and Empress Matilda attempted to win the crown that her father had left to her and her cousin usurped but neither of these women made it to a coronation.)
","(લેડી જેન ગ્રે મેરી આઇ પહેલાં જ ટૂંકા નિયમ ધરાવે છે, કેમ કે પ્રોટેસ્ટન્ટે કેથોલિક રાજા હોવાનો ટાળવાનો પ્રયાસ કર્યો હતો અને મહારાણી માટિલ્ડાએ તેના તાજને જીતવા માટે પ્રયત્ન કર્યો હતો, જે તેના પિતાએ અને તેના પિતરાઈને છોડી દીધી હતી - પરંતુ આમાંની સ્ત્રીઓ તે રાજગાદીએ બનાવી.
"
"(Presumably, a newly hatched Allosaurus would be just as vulnerable to predation as a newly hatched Ankylosaurus, which is why theropods laid multiple eggs at a time, just like their plant-eating cousins.)
","(સંભવતઃ, નવા રોમાંચિત એલોસોરસ એ જ એક નવા હાચેલ એન્કીલોસૌરસ તરીકેના શિકાર તરીકે સંવેદનશીલ બનશે, જેના કારણે શાસ્ત્રવૃક્ષોએ એક સમયે ઘણા ઇંડા નાખ્યાં હતાં, જેમ કે તેમના છોડ-ખાવાથી પિતરાઈ.
"
"(Roger was a cousin of Joan of Kent's maternal grandmother.)
","(રોજર કેન્ટની માતાની દાદીની જોનની પિતરાઈ હતી.
"
"(Roger was a cousin of Joan of Kent's maternal grandmother.).
","(રોજર કેન્ટની માતાની દાદીની જોનની પિતરાઈ હતી.
"
"(This scenario was dramatized in the BBC nature documentary Walking with Beasts, which portrayed Dorudon juveniles being gobbled up by their larger cousins).
","(આ દ્રશ્ય બીબીસી પ્રકૃતિ દસ્તાવેજી વોકીંગ વિથ બાયસ્ટ્સમાં નાટકીય કરવામાં આવ્યો હતો, જેમાં ડોરડોન કિશોરોને તેમના મોટા ભાંડુઓ દ્વારા હલાવવામાં આવ્યા હતા).
"
"* April 24, 2007: Michael Vick's cousin, Davon Boddie, was arrested in Hampton, Va., on drug charges, leading police to obtain a warrant to search his home (owned by Vick) for other drugs and paraphernalia.
","એપ્રિલ 24, 2007: માઈકલ વિકના પિતરાઈ, ડેવોન બોડિને હેમ્પટન, વીએ માં ડ્રગ ચાર્જિસ પર ધરપકડ કરવામાં આવી હતી, અન્ય દવાઓ અને સાધનસામગ્રી માટે તેમના ઘર (વિકની માલિકી) શોધવા માટે વોરંટ મેળવવા માટે અગ્રણી પોલીસ.
"
"*Maria of Spain (1528-1603), married her cousin Maximilian II, Holy Roman Emperor.
","મારિયા (1528 - 1603), પવિત્ર રોમન મહારાણી, મેક્સિમિલિઅન II સાથે લગ્ન કર્યા, તેણીની પ્રથમ પિતરાઈ
"
"1,4-dimethylamylamine (1,4-DMAA): This chemical cousin of 1,3-DMAA has been shown to cause increased heart rate and elevated blood pressure in animals.
","1,4-ડાઇમિથાઈલેમીમાઇન (1,4-ડીએમએ): આ રાસાયણિક પિતરાઈ 133 ડીએમએએમાં હૃદયરોગમાં વધારો અને પ્રાણીઓમાં એલિવેટેડ બ્લડ પ્રેશરનું કારણ દર્શાવવામાં આવ્યું છે.
"
"30 first cousins.
","30 પ્રથમ પિતરાઇ ભાઇ,
"
"4 a.m.: Elvis wakes up first cousin Billy Smith and his wife, Jo, to request they play a game of racquetball with him.
","4:00 am: એલ્વિસ પ્રથમ પિતરાઈ બિલી સ્મિથ અને તેની પત્ની, જો, તેમને વિનંતી કરે છે કે તેઓ તેમની સાથે રેકેટબૉલની રમત રમે છે.
"
"42-year-old Sachin looked like the cousin of actor Akshay Kumar.
","42 વર્ષીય સચિન અભિનેતા અક્ષય કુમારના કઝીન જેવા લગતા હતા.
"
"7-year-old boy slits 4-year-old cousin's throat while fighting over game
","7 વર્ષના છોકરાએ રમત રમતમાં લડી પડતાં 4 વર્ષના બાળકનું ગળું ચીરી દીધું
"
"A broadsheet newspaper is associated with serious journalism, more so than its smaller cousin, the tabloid.
","એક વ્યાપક પત્રકાર અખબાર ગંભીર પત્રકારત્વ સાથે સંકળાયેલું છે, જે તેના નાના પિતરાઈ, ટેબ્લોઇડ કરતા વધુ છે.
"
"A cousin of the royals, Prince Aeneas , son of the goddess Venus and the mortal Anchises, left the burning city of Troy, at the end of the Trojan War, with his son Ascanius, the pricelessly important household gods, his elderly father, and their followers.
","રોયલ્સના એક પિતરાઇ, પ્રિન્સ એનેસ , દેવી વિનસના દીકરા અને પ્રાણઘાતક એન્ચેસે, ટ્રોયાન યુદ્ધના અંતે, તેના પુત્ર અસ્કનીયસ સાથેના સલ્તનત શહેર ટ્રોયને છોડી દીધા હતા, અમૂલ્ય મહત્વના ઘરનાં દેવો, તેમના વરિષ્ઠ પિતા, અને તેમના અનુયાયીઓ
"
"A cousin of the royals, Prince Aeneas, son of the goddess Venus and the mortal Anchises, left the burning city of Troy, at the end of the Trojan War, with his son Ascanius, the pricelessly important household gods, his elderly father, and their followers.
","રોયલ્સના એક પિતરાઇ, પ્રિન્સ એનેસ , દેવી વિનસના દીકરા અને પ્રાણઘાતક એન્ચેસે, ટ્રોયાન યુદ્ધના અંતે, તેના પુત્ર અસ્કનીયસ સાથેના સલ્તનત શહેર ટ્રોયને છોડી દીધા હતા, અમૂલ્ય મહત્વના ઘરનાં દેવો, તેમના વરિષ્ઠ પિતા, અને તેમના અનુયાયીઓ
"
"A cousin uses a family member's name and Social Security number to qualify and sign for a lease
","લીઝ માટે ક્વોલિફાય અને સહી કરવા માટે એક પિતરાઇ કુટુંબના સભ્યનું નામ અને સામાજિક સુરક્ષા નંબરનો ઉપયોગ કરે છે
"
"A cousin uses a family member's name and social security number to qualify and sign for a lease
","લીઝ માટે ક્વોલિફાય અને સહી કરવા માટે એક પિતરાઇ કુટુંબના સભ્યનું નામ અને સામાજિક સુરક્ષા નંબરનો ઉપયોગ કરે છે
"
"A distant cousin, played by Manu Rishi, owns a major sweet shop business and only adds to the family rivalry.
","મનુ ishષિ દ્વારા ભજવાયેલ એક દૂરનો પિતરાઇ ભાઇ, સ્વીટ શોપનો મોટો વ્યવસાય ધરાવે છે અને તે ફક્ત પારિવારિક હરિફાઇમાં વધારો કરે છે.
"
"A female cousin was also in the house.
","આગમમાં એક વિધવા સ્ત્રી પણ રહેતી હતી.
"
"A few days later, an anonymous parcel delivered to the queen's cousin exploded, killing him and his mother.
","થોડા દિવસો બાદ, રાણીના પિતરાઈ ભાઈને પહોંચાડેલો એક અનામિક પાર્સલ તેને અને તેની માતાને મારી નાખતી હતી.
"
"A few seconds after that, I ran upstairs, too, to check on my cousin.
","તેના પછી થોડાક સેકન્ડ પછી, હું મારા પિતરાઈ પર તપાસ કરવા માટે પણ ઉપર તરફ ચાલી ગયો.
"
"A few weeks ago, Priyanka had also spent some quality time with Nick's family at his cousin's wedding.
","અેક અઠવાડિયા પહેલાં પ્રિયંકા પણ નિકના પરિવાર સાથે તેના કઝીનનાં લગ્ન દરમિયાન ખૂબ જ હળીમળી રહી હતી.
"
"A few weeks later, my mom left to the store and told me that my cousins were coming that day.
","થોડા અઠવાડિયા પછી, મારી મમ્મીએ દુકાનમાં જવું અને મને કહ્યું કે તે દિવસ મારા પિતરાઈઓ આવી રહ્યાં છે.
"
