eng_Latn,ben_Beng
"Maria Shiver's mother is the niece of former US President John F. Kennedy.
","তার প্রাক্তন স্ত্রী মারিয়া শ্রিভার হলেন আমেরিকার প্রাক্তন প্রেসিডেন্ট জন এফ কেনেডির আপন ভাতিজি।
"
"Mary Trump is President Trump's niece.
","মেরি ট্রাম্প প্রেসিডেন্ট ট্রাম্পের ভাতিজি।
"
"Mary Trump, President Donald Trump's niece, filed a lawsuit Thursday accusing the President and his siblings of committing fraud in order to deprive her of her interests in the family real-estate.
","ডোনাল্ড ট্রাম্পের ভাগ্নী মেরি ট্রাম্প বৃহস্পতিবার মার্কিন প্রেসিডেন্টের বিরুদ্ধে তাঁর এবং পরিবারের অন্যান্য সদস্যদের বিরুদ্ধে প্রতারণার অভিযোগ এনে মামলা করেছেন . . .
"
"Mary Trump, President Donald Trump's niece, filed a lawsuit Thursday accusing the President and his siblings of committing fraud in order to deprive her of her interests in the family.
","ডোনাল্ড ট্রাম্পের ভাগ্নী মেরি ট্রাম্প বৃহস্পতিবার মার্কিন প্রেসিডেন্টের বিরুদ্ধে তাঁর এবং পরিবারের অন্যান্য সদস্যদের বিরুদ্ধে প্রতারণার অভিযোগ এনে মামলা করেছেন . . .
"
"Mary Trump, President Donald Trump's niece, filed a lawsuit Thursday accusing the President and his siblings...
","ডোনাল্ড ট্রাম্পের ভাগ্নী মেরি ট্রাম্প বৃহস্পতিবার মার্কিন প্রেসিডেন্টের বিরুদ্ধে তাঁর এবং পরিবারের অন্যান্য সদস্যদের বিরুদ্ধে প্রতারণার অভিযোগ এনে মামলা করেছেন . . .
"
"Mary Trump, niece of Donald Trump, sues U.S. president and family for fraud.
","ডোনাল্ড ট্রাম্পের ভাতিজি মেরি ট্রাম্প মার্কিন প্রেসিডেন্ট ও পরিবারকে জালিয়াতির অভিযোগে মামলা করেছেন
"
"Mary Trump, the niece of Donald Trump, sued the U.S. president on Thursday, accusing him and other family members of cheating her out of tens of millions of dollars from an inheritance....
","ডোনাল্ড ট্রাম্পের ভাগ্নী মেরি ট্রাম্প বৃহস্পতিবার মার্কিন প্রেসিডেন্টের বিরুদ্ধে তাঁর এবং পরিবারের অন্যান্য সদস্যদের বিরুদ্ধে প্রতারণার অভিযোগ এনে মামলা করেছেন . . .
"
"Mary is Donald Trump's niece.
","মেরি ট্রাম্প ডোনাল্ড ট্রাম্পের বড়ভাইয়ের মেয়ে।
"
"Mary is President Trump's niece.
","মেরি ট্রাম্প প্রেসিডেন্ট ট্রাম্পের ভাতিজি।
"
"Meena Harris is the niece of recently inaugurated Vice President of the United States, Kamala Harris.
","টুইট করেছেন ভারতীয় বংশোদ্ভূত নবনির্বাচিত যুক্তরাষ্ট্রের ভাইস প্রেসিডেন্ট কমালা হ্যারিসের ভাগ্নী মীনা হ্যারিসও।
"
"Meena Harris, An American Lawyer and the niece of United State's Vice President, Kamala Harris has insisted that everyone should be enraged by India's internet shutdowns and paramilitary violence against farmer protestors.
","আমেরিকার উপরাষ্ট্রপতি ভারতীয় বংশোদ্ভূত কমলা হ্যারিসের ভাগ্নী আইনজীবী মিনা হ্যারিস টুইটে ক্যাপিটলে আক্রমনের কথা মনে করিয়ে লেখেন, 'আমাদের সবার সরব হওয়া উচিত ভারতের ইন্টারনেট পরিসেবা বন্ধ করা ও আধাসামরিকদের দ্বারা প্রতিবাদী কৃষকের প্রতি জুলুমের বিরুদ্ধে।
"
"Millennials usually prioritize family over work, and even those who aren't married with children feel the need to be a part of a family and spend time with nieces, nephews, and siblings.
","Millenials সাধারণত কর্মক্ষেত্রে পরিবারকে অগ্রাধিকার দেয় এবং এমনকী যারা বিবাহিত না হয় তাদেরও পরিবারের একটি অংশ হতে হবে এবং ভ্রাতুষ্পুত্র, ভাতিজা এবং ভাইবোনদের সাথে সময় কাটানোর প্রয়োজন মনে করে।
"
"My dear niece, you are a joy to my heart and a delight to my eyes.
","আমার ভাগ্নির কাছে, আপনি আমার হৃদয়ের জন্য আনন্দ এবং আমার চোখে আনন্দিত।
"
"My four-year-old niece
","আমার চার বছরের ছোট্ট বোনটি
"
"My niece died at 3 months old.
","আমার ভাতিজি ৩মাস বয়সে মারা গেছে।
"
"My niece is 21 and can't cook anything (apart from toast) and has no desire to learn.
","""""""আমার ভাতিজি 21 বছর বয়সী এবং কিছুই রান্না করতে পারে না (টোস্ট বাদে) """"""
"
"My niece is the light of my life.
","সেই আন্টি আমার জীবনের আলোক মশাল।
"
"My niece liked it very much.
","আমার কর্তামা (দাদী) খুব পছন্দ করতেন ।
"
"My niece told her she doesn't know anything.
","মেয়েই জানাল, তাঁর নানি কিছুই জানেন না।
"
"My niece was a very good girl.
","আমার পুত্রবধূ অনেক ভাল মেয়ে ছিলো।
"
"My niece was born on the same day!
","ভাই বোনের একই দিনে জন্ম!
"
"My wife has two nieces out there.
","আমার স্ত্রী দুই মেয়ে নিয়ে সেখানে আছে।
"
"Nawazuddin Siddiqui's niece has alleged sexual harassment by the actor's younger brother.
","বলিউড অভিনেতা নওয়াজউদ্দিন সিদ্দিকীর ভাগ্নী অভিনেতা ভাইয়ের ছোটবেলায় যৌন হেনস্থার অভিযোগ করেছেন।
"
"NextNawazuddin Siddiqui's niece files sexual harassment complaint against the actor's brother
","Next articleনওয়াজের ভাইয়ের বিরুদ্ধে মেয়ের যৌন হেনস্থার অভিযোগ সিদ্দিকীর স্ত্রীর
"
"Now, I have two nieces.
","এখন আমার দুটো বোন আন্টি।
"
"Of course, the niece's father can afford another mobile phone in the house but he just won't buy it.
","অবশ্যই, ভাগ্নির বাবা বাড়িতে আর একটি মোবাইল ফোন বহন করতে পারে তবে সে তা কিনবে না।
"
"On 6 February, US Vice-President Kamala Harris's niece Meena tweeted that 'Nodeep Kaur was arrested, tortured & sexually assaulted in police custody.
","""৬ ফেব্রুয়ারিতে আমেরিকার ভাইস-প্রেসিডেন্ট কমলা হ্যারিসের ভাইঝি মীনা হ্যারিস টুইট করে বলেছিলেন, """"২৩ বছর বয়সী শ্রমকর্মী নদীপ কৌরকে গ্রেফতার করা হয়েছিল এবং তাঁকে পুলিশি হেফাজতে রেখে যৌন নির্যাতন করা হয়ে।""
"
"On Monday, authorities unsealed court documents charging Paul Caneiro with murdering his brother, sister-in-law, a niece and nephew, detailing evidence recovered tying him to the killings, including clothing and a knife both smeared with blood.
","সোমবার, কর্তৃপক্ষ তার ভাই, ভগ্নিপতি, একটি ভাগ্নী এবং ভাগ্নীকে হত্যার অভিযোগে পল কেনেরিওর বিরুদ্ধে অভিযোগের আদালতের নথিপত্র আনসিল করে, প্রমাণ সহ বিশদভাবে তাকে উদ্ধার করে পোশাক এবং একটি ছুরি উভয়কে রক্তের গন্ধে আবদ্ধ করে।
"
"Personal Life: Arnold was married to television news personality Maria Shriver, niece of President John F. Kennedy, from 1986 to 2017.
","আর্নল্ড টেলিভিশন সংবাদ ব্যক্তিত্বের সাথে বিবাহবন্ধনে আবদ্ধ ছিলেন মারিয়া শ্রীবর ১৯৮6 থেকে ২০১ 2017 সাল পর্যন্ত রাষ্ট্রপতি জন এফ কেনেডি-এর ভাগ্নী।
"
"Prabhu Deva got married in September and his wife is a physiotherapist and not his niece.
","প্রভু দেবা সেপ্টেম্বরে বিয়ে করেছিলেন এবং তাঁর স্ত্রী তার ভাগ্নি নয়, একজন ফিজিওথেরাপিস্ট।
"
"Prabhudeva got married in September and his wife is a physiotherapist and not his niece.
","প্রভু দেবা সেপ্টেম্বরে বিয়ে করেছিলেন এবং তাঁর স্ত্রী তার ভাগ্নি নয়, একজন ফিজিওথেরাপিস্ট।
"
"President Donald Trump (R) and his niece Mary Trump (L).
","মার্কিন যুক্তরাষ্ট্রের বিদায়ী প্রেসিডেন্ট ডোনাল্ড ট্রাম্প (বাঁয়ে) ও তাঁর ভাতিজি মেরি ট্রাম্প।
"
"President Donald Trump's niece says her uncle is 'criminal, cruel and traitorous' and belongs in prison after he leaves the White House.
","""রাষ্ট্রপতি ডোনাল্ড ট্রাম্পের ভাতিজি বলেছেন যে তার চাচা """"অপরাধী, নিষ্ঠুর এবং বিশ্বাসঘাতক"""" এবং হোয়াইট হাউস ছেড়ে যাওয়ার পরে কারাগারে রয়েছেন।""
"
"Queen Yamoussou, the niece of Kouass N'Go, ran the city of N'Gokro in 1929 at the time of French colonization.
","কৌয়াসাই এন'গো এর ভাইঝি রানী ইয়ামৌসৌ ফরাসি ঔপনিবেশিক আমলে ১৯২৯ সালে এন'গোক্রো নামক শহর পত্তন করেন।
"
"Queen Yamoussou, the niece of Kouassi N'Go, ran the city of N'Gokro in 1929 at the time of French colonization.
","কৌয়াসাই এন'গো এর ভাইঝি রানী ইয়ামৌসৌ ফরাসি ঔপনিবেশিক আমলে ১৯২৯ সালে এন'গোক্রো নামক শহর পত্তন করেন।
"
"Ramnath added that the concept of 'Sisterhood' was born after watching her daughter and 17-year-old niece braiding each other's hair, chatting and laughing, having a good time.
","রামনাথ যোগ করেছেন যে ধারণা 'সিস্টারহুড'-এর জন্ম হয়েছিল তার মেয়ে এবং ১--বছর বয়সী ভাগ্নি একে অপরের চুল বেঁধে, চ্যাট করা এবং হাসতে, ভাল সময় কাটিয়ে দেখার পরে।
"
"Ramya Krishnan, actress; niece of Cho Ramaswamy.
","রম্যা কৃষ্ণন, অভিনেত্রী; চো রামাস্বামীর ভাতিজি।
"
"Sarala Devi was the niece of Rabindranath Tagore.
","সরলা দেবী ছিলেন রবীন্দ্রনাথ ঠাকুরের ভাগ্নি।
"
"Sarla Devi was the niece of Rabindranath Tagore.
","সরলা দেবী ছিলেন রবীন্দ্রনাথ ঠাকুরের ভাগ্নি।
"
"Sarla Devi was the niece of Rabrindranath Tagore.
","সরলা দেবী ছিলেন রবীন্দ্রনাথ ঠাকুরের ভাগ্নি।
"
"Seducing her niece's friend 11:47
","তার ভাইঝি এর বন্ধু প্রতারিত 11:47
"
"Shamim Osman also said, 'I have a niece named Sadia Islam Mou.
","শামীম ওসমান আরো বলেন, 'আমার ভাগ্নি রয়েছে নাম সাদিয়া ইসলাম মৌ।
"
"Shanaya is producer Boney Kapoor and veteran actor Anil Kapoor's niece, and first cousin of actors Sonam Kapoor, Harshvardhan Kapoor, and Janhvi Kapoor.
","শানায়া প্রযোজক বনি কাপুর এবং প্রবীণ অভিনেতা অনিল কাপুরঅভিনেতাদের ভাগ্নী, এবং প্রথম কাজিন সোনম কাপুর, হর্ষবর্ধন কাপুর, এবং জানভী কাপুর।
"
"Sharda and Kailas Salve from Parbhani are accompanied by their infant son and 12-year-old niece
","পর্ভাণী থেকে আগত শারদা এবং কৈলাস সালভে, তাঁদের সঙ্গে এসেছে তাঁদের সন্তান এবং ১২ বছর বয়সী ভাইঝি
"
"She is the niece of Prince Harry.
","প্রিন্স হ্যারির স্ত্রী তিনি।
"
"She is the niece of Shabana Azmi and the elder sister of Tabu.
","তিনি শাবানা আজমি এর ভাইঝি এবং তাবু এর বড় বোন হন।
"
"She is the niece of Shabana Azmi and the elder sister of Tabu. ...
","তিনি শাবানা আজমি এর ভাইঝি এবং তাবু এর বড় বোন হন।
"
"She is the niece of Shabana Azmi and the older sister of Tabu.
","তিনি শাবানা আজমি এর ভাইঝি এবং তাবু এর বড় বোন হন।
"
"She is the niece of Shabana Azmi and the senior sister of Tabu.
","তিনি শাবানা আজমি এর ভাইঝি এবং তাবু এর বড় বোন হন।
"
"She supports several charitable causes, mostly in relation to cystic fibrosis - a condition her niece suffers from - and was appointed Officer of the Order of the British Empire (OBE) in the 2012 Birthday Honours for charitable services.
","তিনি বেশিরভাগ দাতব্য কারণ সমর্থন করেন, বেশিরভাগই সিস্টিক ফাইব্রোসিসের সাথে সম্পর্কযুক্ত, যার একটি শর্ত তার ভাতিজার ভুক্তভোগী, এবং দাতব্য পরিষেবাদির জন্য ২01২ সালের জন্মদিন সম্মাননায় ব্রিটিশ আম্পায়ারের আদেশ (ওবিই) এর অফিসার নিযুক্ত হন।
"
"She supports several charitable causes, mostly in relation to cystic fibrosis, a condition from which her niece suffers, and was appointed Officer of the Order of the British Empire (OBE) in the 2012 Birthday Honours for charitable services.
","তিনি বেশিরভাগ দাতব্য কারণ সমর্থন করেন, বেশিরভাগই সিস্টিক ফাইব্রোসিসের সাথে সম্পর্কযুক্ত, যার একটি শর্ত তার ভাতিজার ভুক্তভোগী, এবং দাতব্য পরিষেবাদির জন্য ২01২ সালের জন্মদিন সম্মাননায় ব্রিটিশ আম্পায়ারের আদেশ (ওবিই) এর অফিসার নিযুক্ত হন।
"
"She supports several charitable causes, mostly in relation to cystic fibrosisa condition from which her niece suffers, and was appointed Officer of the Order of the British Empire OBE in the Birthday Honours for charitable services.
","তিনি বেশিরভাগ দাতব্য কারণ সমর্থন করেন, বেশিরভাগই সিস্টিক ফাইব্রোসিসের সাথে সম্পর্কযুক্ত, যার একটি শর্ত তার ভাতিজার ভুক্তভোগী, এবং দাতব্য পরিষেবাদির জন্য ২01২ সালের জন্মদিন সম্মাননায় ব্রিটিশ আম্পায়ারের আদেশ (ওবিই) এর অফিসার নিযুক্ত হন।
"
"Speaker of the House of Commons John Simon Bercow recently handed over the award to Tulip, daughter of Sheikh Rehana and niece of Prime Minister Sheikh Hasina.
","হাউজ অব কমন্সের স্পিকার জন সিমন সম্প্রতি প্রধানমন্ত্রী শেখ হাসিনার ভাগ্নী এবং শেখ রেহানার কন্যা টিউলিপের কাছে এ পুরস্কার হস্তান্তর করেন।
"
"Speaker of the House of Commons John Simon Bercow recently handed over the award to Tulip, eldest daughter of Sheikh Rehana and niece of Hasina.
","হাউজ অব কমন্সের স্পিকার জন সিমন সম্প্রতি প্রধানমন্ত্রী শেখ হাসিনার ভাগ্নী এবং শেখ রেহানার কন্যা টিউলিপের কাছে এ পুরস্কার হস্তান্তর করেন।
"
"Tehmina Daultana former minister and Pakistan Muslim League (N) (PML-N) MNA (Member of National Assembly of Pakistan) is his niece.[2]
","তাহমিনা দৌলতানা প্রাক্তন মন্ত্রী এবং পাকিস্তান মুসলিম লীগ (পিএমএল-এন) এমএনএ (পাকিস্তানের জাতীয় সংসদ সদস্য) তার ভাগ্নি।
"
"That can be seen in the computer of niece 09:07
","যে ভাইঝি কম্পিউটার দেখা যায় 09:07
"
"The actor's niece has accused his brother of sexual harassment.
","এবার এই অভিনেতার ভাইয়ের বিরুদ্ধে যৌন হেনস্তার অভিযোগ তুলেছেন তার ভাতিজি।
"
"The court blocked the publication of a book by Trump's niece
","ট্রাম্পের ভাতিজির বইয়ের নিষেধাজ্ঞা তুলে নিলো আদালত
"
"The lady with whom I am staying is Mrs. Totten, a niece of Miss Howe.
","যে মহিলাটির কাছে আমি আছি, তাঁর নাম মিস টটন, মিস হাউ-এর এক ভাইঝি।
"
"The moment my niece came into the world, I realized that logic can't make sense of someone who's so brand new to you.
","আমার ভাতিজি পৃথিবীতে আসার মুহুর্তে আমি বুঝতে পেরেছিলাম যে যুক্তি এমন কাউকে বোঝায় না যে আপনার কাছে একেবারেই নতুন।
"
"The moment my niece came into the world, I realized that logic could not make sense of someone who's so brand new to you.
","আমার ভাতিজি পৃথিবীতে আসার মুহুর্তে আমি বুঝতে পেরেছিলাম যে যুক্তি এমন কাউকে বোঝায় না যে আপনার কাছে একেবারেই নতুন।
"
"The news of his death was announced on Sunday 15th November by his niece Shaheen Aggarwal on Facebook.
","গত ১৫ নভেম্বর তার ভাইঝি শাহিন আগারওয়াল ফেসবুকে এ দুঃসংবাদ দিয়েছেন।
"
"The niece loves someone else.
","আনু তো অন্য কাউকে ভালোবাসে ।
"
"The niece said it was true.
","শ্বশুরমশাই বললেন, কথাটা সত্যি।
"
"The only niece.
","একমাত্র নাতনি।
"
"The story follows dowager Rachel Innes as she thwarts a series of strange crimes at a summer home she has rented with her niece and nephew.
","গল্পটি র্যাচেল ইনসকে অনুসরণ করেছে কারণ তিনি গ্রীষ্মের একটি বাড়িতে তিনি তার ভাতিজি এবং ভাগ্নির সাথে ভাড়া নিয়ে একাধিক অদ্ভুত অপরাধ ব্যর্থ করেছিলেন।
"
"The story follows dowager Rachel Innes as she thwarts a series of strange crimes at a summer house she has rented with her niece and nephew.
","গল্পটি র্যাচেল ইনসকে অনুসরণ করেছে কারণ তিনি গ্রীষ্মের একটি বাড়িতে তিনি তার ভাতিজি এবং ভাগ্নির সাথে ভাড়া নিয়ে একাধিক অদ্ভুত অপরাধ ব্যর্থ করেছিলেন।
"
"These make great gifts for your children, grandchildren or nieces and nephews.
","তারা আপনার সন্তানদের জন্য, grandchildren, nieces এবং nephews জন্য মহান উপহার।
"
"They are also great gifts for your children, grandchildren, nieces and nephews.
","তারা আপনার সন্তানদের জন্য, grandchildren, nieces এবং nephews জন্য মহান উপহার।
"
"They are great gifts for your children, grandchildren, nieces and nephews
","তারা আপনার সন্তানদের জন্য, grandchildren, nieces এবং nephews জন্য মহান উপহার।
"
"They are great gifts for your children, grandchildren, nieces and nephews.
","তারা আপনার সন্তানদের জন্য, grandchildren, nieces এবং nephews জন্য মহান উপহার।
"
"They are great gifts for your children, grandchildren, nieces and...
","তারা আপনার সন্তানদের জন্য, grandchildren, nieces এবং nephews জন্য মহান উপহার।
"
"They are great gifts for your children, grandchildren, nieces, and nephews.
","তারা আপনার সন্তানদের জন্য, grandchildren, nieces এবং nephews জন্য মহান উপহার।
"
"They are great gifts for your children, nieces and nephews.
","তারা আপনার সন্তানদের জন্য, grandchildren, nieces এবং nephews জন্য মহান উপহার।
"
"This allegation by his niece has added more woes for Nawazuddin Siddiqui in terms of his personal life, and according to both parties concerned more is yet to follow.
","তাঁর ভাগ্নির এই অভিযোগ তার ব্যক্তিগত জীবনের দিক থেকে নওয়াজউদ্দিন সিদ্দিকীর জন্য আরও দুর্দশা জাগিয়েছে, এবং উভয় পক্ষের মতে এখনও আরও কিছু অনুসরণ করা যায়নি।
"
"This is a story of my 3 year old niece.
","এটি আমার 3 বছরের নাতনীর সবচেয়ে প্রিয় রূপকথার গল্প।
"
"This would make a great present for your kids, grandchildren, nieces & nephews.
","তারা আপনার সন্তানদের জন্য, grandchildren, nieces এবং nephews জন্য মহান উপহার।
"
"To be on television and have my nieces and nephews see me, and seeing them wear my shirt to the games and be proud, it's so sweet.
","টেলিভিশনে থাকতে এবং আমার ভাগ্নি এবং ভাগ্নীরা আমাকে দেখতে, এবং তাদের গেমগুলিতে আমার শার্ট পরে এবং গর্বিত হতে দেখে, এটি খুব মধুর।
"
"To my niece, you are a joy to my heart and a delight to my eyes.
","আমার ভাগ্নির কাছে, আপনি আমার হৃদয়ের জন্য আনন্দ এবং আমার চোখে আনন্দিত।
"
"Tomorrow is my little niece's birthday.
","আগামী কাল আমার ছোট্ট পরী টার জন্মদিন।
"
"Trump must be re-elected to prevent another 9/11 - Osama bin Laden's niece says 1
","ট্রাম্পই পারেন আরেকটি ৯/১১ ঠেকাতে, বললেন ওসামা বিন লাদেনের ভাতিজি
"
"Tulip Siddiq is the niece of Bangladesh Prime Minister Sheikh Hasina.
","টিউলিপ সিদ্দিক বাংলাদেশের প্রধানমন্ত্রী শেখ হাসিনার বোন শেখ রেহানার মেয়ে।
"
"Two years later, he married Cixi's niece Jingfen (although he reportedly did not find her long face very attractive).
","দুই বছর পর, তিনি সিনসি এর ভাতিজা জিংফেন (যদিও তিনি তার দীর্ঘ মুখ খুব আকর্ষণীয় খুঁজে না) বিবাহিত।
"
"US Donald Trump filed a lawsuit against his niece Mary Trump and the New York Times.
","যুক্তরাষ্ট্রের সাবেক প্রেসিডেন্ট ডোনাল্ড ট্রাম্প ভাতিজি মেরি ট্রাম্প ও নিউইয়র্ক টাইমস পত্রিকার বিরুদ্ধে মামলা দায়ের করেছেন ।
"
"US President Donald Trump and his niece Mary Trump.
","সাবেক মার্কিন প্রেসিডেন্ট ডোলান্ড ট্রাম্প ও তার ভাতিজি ম্যারি ট্রাম্প।
"
"Uncle wake up his niece's best friend (by 18:13
","চাচা তার ভাইঝি এর সবচেয়ে ভালো বন্ধু জেগে 18:13
"
"Urmila and Mohsin are said to have met during designer Manish Malhotra's niece's wedding back in 2014.
","জানা গেছে, ২০১৪ সালে ডিজাইনার মনিশ মালহোত্রার ভাইজির বিয়ের অনুষ্ঠানে ঊর্মিলা ও মোহসিনের দেখা হয়।
"
"Very excited to be able to show something I loved so dearly as a child with my niece who has completely fallen in love with all that is Beauty and The Beast!
","আমি আমার ভাতিজার একজন সন্তানের মতো এত প্রেমে ভালবাসতাম এমন কিছু দেখানোর জন্য খুব উত্তেজিত ছিলাম যা সৌন্দর্য এবং পশুদের সাথে প্রেমের সাথে পুরোপুরি নিঃশেষ হয়ে গেছে!
"
"What do I call my niece's husband?
","ছোট বোনের স্বামীকে কি বলে ডাকবো?
"
"When you start to try this practice, you quickly realize just how fast our minds want to move on to other things - what's for dinner, that email you have to respond to, your niece's birthday party, whatever.
","আপনি যখন এই অনুশীলনটি ব্যবহার করতে শুরু করেন, আপনি দ্রুত বুঝতে পারবেন যে আমাদের মন কত দ্রুত অন্য বিষয়গুলিতে এগিয়ে যেতে চায় - রাতের খাবারের জন্য কী, সেই ইমেলটি আপনাকে প্রতিক্রিয়া জানাতে হবে, আপনার ভাগ্নির জন্মদিনের পার্টি যাই হোক না কেন।
"
"don't talk to me or my niece
","আমার বা আমার ছেলে মেমের সাথে কথা বলবেন না
"
"marrying his niece Aisha, only 6 years old.
","নিজের ছোট মেয়ে আয়েশাকে মাত্র ছয় বছর বয়সে
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","সোশ্যাল মিডিয়ায় ফের দাদা সইফ আলি খানের ছোট্টবেলার ছবি পোস্ট করলেন সাবা আলি খান।
"
"He imagined that Madame Shumikin and her nieces looked down upon his mother and him- self as poor relations and dependents, and that they made fun of his mother and did not respect her.
","সে মনে করে মাদাম শুমিখিনা ও তার বোন-ঝিরা তাকে ও মামনকে গরিব আত্মীয় ও বোঝা বলে মনে করে, তারা মামনকে সম্মান করে না, তাকে নিয়ে হাসাহাসি করে।
"
"Her niece and nephew Sara Ali Khan , Innaya, Taimur and Ibrahim.
","সারা আলি খান, ইব্রাহিম, তৈমুর আলি খানের ঠাকুমা ও ইনায়ার দিদা।
"
"A seven-year-old niece was also wounded in the shooting.
","মারধরের মাঝে পড়ে জখম হয় ওই মহিলার সাত বছরের শিশুকন্যাও।
"
"She is his niece.
","তার পৌত্রী তামারা।
"
"And my nieces are.
","আর আমার মামাতো ভাইগুলা।
"
"His niece, Alyssa Healy is the wicket-keeper of the Australian women’s cricket team and is married to Australian spearhead Mitchell Starc.
","মিচেল স্টার্কের স্ত্রী অ্যালিসা হিলিও অস্ট্রেলিয়ার মেয়েদের ক্রিকেটের বড় তারকা।
"
"Ahmedabad: Prime Minister Narendra Modi’s niece Sonal Modi has been denied a ticket by the BJP to contest the upcoming civic body polls in Ahmedabad.
","আহমেদাবাদঃ প্রধানমন্ত্রী নরেন্দ্র মোদীর ভাইজি সোনাল মোদীকে আহমেদাবাদ পৌর কর্পোরেশন নির্বাচনের জন্য টিকিট দিল না বিজেপি।
"
"This is my niece.
","এই ই আমার ভ্রাত।
"
"A little while later my sister-in-law and niece arrive.
","কিছুক্ষণ পরেই আমার শশুর এবং শাশুড়ি আসলেন, এসেই বললেন-
"
"But I had never in my life seen my niece in such a condition.
","অথচ এ ধরনের দৃশ্য আমার জীবদ্দশায় কখনও দেখিনি।
"
"Her entire family of parents, sister, brother-in-law and nephew and niece were with her.
","তার স্ত্রী, মা, ভাই এবং কাজের লোক নিয়ে তার গোটা পরিবার।
"
"“She is my niece.
","“সে আমার পালিতা কন্তা।
"
"Tulip is the daughter of Sheikh Rehana, younger daughter of Bangabandhu, and a niece of Prime Minister Sheikh Hasina.
","এর মধে টিউলিপ সিদ্দিকী বঙ্গবন্ধু কন্যা শেখ রেহানার মেয়ে ও প্রধানমন্ত্রী শেখ হাসিনার ভাগ্নি।
"
"Bros in law, sisters in law, nephews, nieces, relatives, neighbours and friends.
","মা, ভাইবোন, ভাতিজা-ভাতিজি, ভাগিনা-ভাগিনী ও নিকটাত্মীয়-বন্ধুদের শূন্যতায়।
"
"This is my niece.
","আমার এই নাতনির বাতিক।
"
"How did you behave with his niece?
","কেমন আচরণ করেছেন আত্নীয়কুলের সাথে।
"
"This is my niece.
","এ আমারই কন্মফল বোন।
"
"Where is my little niece?
","কোথায় আমার ছোট্ট শানু?
"
"Dad, Mom and I. Plus my nephew and niece – my brothers’ kids.
","আব্বু, আম্মু, ভাইয়া, আমি আর আমার পিচ্ছি বোন।
"
"Sanjay Leela Bhansali's niece Sharmin and Jaaved Jaaferi 's son Meezaan are set to make their debuts with Malaal .
","ছবিতে প্রধান ভূমিকায় অভিনয় করেছেন জাভেদ জাফরির ছেলে মীজান ও সঞ্জয় লীলা বনশালির ভাইঝি শর্মিন সেহগাল।
"
"Alia is Suhana's mother, Gauri Khan's niece, (daughter of Vibha Chhiba).
","গৌরি খানের ভাইয়ের মেয়ে আলিয়া ছিব্বা।
"
"And, your niece is so very adorable!
","এবং পনি আপু সত্যিই অনেক কিউট!
"
"Abhishek’s niece Navya Naveli Nanda had also shared a picture from the same day on her Instagram.
","অমিতাভের নাতনি নব্য নভেলি নন্দাও এদিন পোস্ট করেছেন তাঁর ভাইয়ের সঙ্গে ছোট্টবেলার ছবি।
"
"Priyanka Chopra Jonas has shared some endearing moments on social media with her little niece Krishna.
","তাস্কানিতে নিক জোনাসের সঙ্গে ছুটি কাটাচ্ছেন প্রিয়ঙ্কা চোপড়া, আর তার বিভিন্ন মুহূর্ত ভাগ করে নিয়েছেন সোশ্যাল মিডিয়ায়।
"
"Along with Meezaan, Bhansali’s niece Sharmin Segal will also make her Bollywood debut with Malaal.
","‘মালাল’ চলচ্চিত্র দিয়ে সঞ্জয় লীলা বানসালির ভাতিজি শারমিন সেগালের অভিষেক হতে যাচ্ছে বলিউডে।
"
"He gave the drink mixed with sleeping pills to his brother, sister-in-law, niece and nephew.
","ঘুমের ওষুধ মেশানো এ পানীয় সে তার ভাই, ভাবি, ভাতিজি ও ভাতিজাকে খেতে দেয়।
"
"Tulip is the daughter of Sheikh Rehana, younger daughter of Bangabandhu, and a niece of Prime Minister Sheikh Hasina.
","টিউলিপ রেজওয়ানা সিদ্দিক জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমানের কনিষ্ঠ কন্যা শেখ রেহানার মেয়ে এবং প্রধানমন্ত্রী শেখ হাসিনার ভাগ্নি।
"
"Raj Kumar’s nieces!
","রাজ কুমার গণের পিতা!
"
"But it doesn’t include grandparents, grandchildren, aunts, uncles, nieces, nephews, cousins, brothers-in-laws and sisters-in-law, fiancés and any other extended family members.
","দাদা-দাদি, নানা-নানি, নাতি-নাতনি, খালা-ফুপু, মামা-চাচা, ভাগ্নে-ভাগ্নি, ভাতিজা-ভাতিজি অর্থাৎ বৃহৎ অর্থে পরিবারের অন্যান্য স্বজনরা এর আওতায় পড়বেন না।
"
"Both of my nieces are good students.
","আমার দুটো মেয়ে ভাল ছাত্রী।
"
"Aamir Khan along with his wife Kiran Rao, son Azad Rao Khan and daughter Ira Khan attended his niece Zayn. . . . .
","ইদে আমিরের বাড়িতে ছিলেন তাঁর স্ত্রী কিরন, ছেলে আজাদ ছাড়া অভিনেতার প্রথমপক্ষের সন্তান ইরা, ছেলে জুনেইদ এবং বর্তমানে আমিরের সহঅভিনেতা ফতিমা শানা শেখ ছবি সৌজন্যে ইন্সটাগ্রাম
"
"This is my niece.
","তো এই হলেন আমার আন্টি।
"
"He married his wife's niece.
","তাহার নিজের ভগিনীকেই বিবাহ করেন।
"
